order_date,order_date_of_month,dow,orders,delivery_fee,restaurant_id,food_price,is_coupon_used,is_bkk,is_chain_res,is_main_dish,CASH,LINEMAN_CREDIT_CARD,RLP,L,M,S,cooking_time_in_seconds_trf,delivery_time_in_seconds_trf,total_time_waiting,%_coupon_used,%_chain_res,%_S_resturant_orders,%_L_resturant_orders,orders_per_rest,%_CASH
41,11,6,377,10.0,87,127.0,37,173,52,296,351.0,0,26,116.0,109.0,152.0,673.0,513.0,1230.0,0.09814323607427056,0.13793103448275862,0.40318302387267907,0.3076923076923077,4.333333333333333,0.9310344827586207
42,12,0,386,10.0,83,135.0,44,184,43,324,345.0,0,41,106.0,93.0,187.0,737.0,482.0,1280.0,0.11398963730569948,0.11139896373056994,0.4844559585492228,0.27461139896373055,4.650602409638554,0.8937823834196891
43,13,1,375,10.0,85,130.0,44,189,45,286,341.0,0,34,105.0,100.0,170.0,693.0,495.0,1226.0,0.11733333333333333,0.12,0.4533333333333333,0.28,4.411764705882353,0.9093333333333333
44,14,2,385,10.0,89,130.0,57,179,44,287,349.0,0,36,111.0,103.0,171.0,715.0,498.0,1240.0,0.14805194805194805,0.11428571428571428,0.44415584415584414,0.2883116883116883,4.325842696629214,0.9064935064935065
45,15,3,361,10.0,84,130.0,46,178,52,267,320.0,0,41,115.0,80.0,166.0,666.0,517.0,1221.0,0.12742382271468145,0.1440443213296399,0.4598337950138504,0.3185595567867036,4.2976190476190474,0.8864265927977839
46,16,4,398,10.0,86,128.5,50,206,46,295,364.0,0,34,112.0,87.0,199.0,657.0,523.0,1249.0,0.12562814070351758,0.11557788944723618,0.5,0.2814070351758794,4.627906976744186,0.914572864321608
47,17,5,402,10.0,89,136.5,55,198,45,307,366.0,0,36,119.0,96.0,187.0,684.0,513.5,1270.0,0.13681592039800994,0.11194029850746269,0.4651741293532338,0.2960199004975124,4.51685393258427,0.9104477611940298
48,18,6,427,10.0,93,137.0,46,197,53,314,393.0,0,34,124.0,116.0,187.0,697.0,518.0,1277.5,0.10772833723653395,0.12412177985948478,0.4379391100702576,0.2903981264637002,4.591397849462366,0.9203747072599532
49,19,0,392,10.0,80,130.0,42,185,56,306,365.0,0,27,127.0,84.0,181.0,767.5,455.0,1260.0,0.10714285714285714,0.14285714285714285,0.461734693877551,0.3239795918367347,4.9,0.9311224489795918
50,20,1,359,10.0,85,120.0,34,159,41,278,334.0,0,25,115.0,97.0,147.0,615.0,516.0,1165.0,0.0947075208913649,0.11420612813370473,0.40947075208913647,0.3203342618384401,4.223529411764706,0.9303621169916435
